Sample_ID	Population
EPI_ISL_3948701	ITALY
EPI_ISL_3948702	ITALY
EPI_ISL_3948703	ITALY
EPI_ISL_3948705	ITALY
EPI_ISL_3948706	ITALY
EPI_ISL_3948707	ITALY
EPI_ISL_3948708	ITALY
EPI_ISL_3948709	ITALY
EPI_ISL_3948710	ITALY
EPI_ISL_3948711	ITALY
EPI_ISL_3948712	ITALY
EPI_ISL_3948713	ITALY
EPI_ISL_3948714	ITALY
EPI_ISL_3948715	ITALY
EPI_ISL_3948716	ITALY
EPI_ISL_3948717	ITALY
EPI_ISL_3948718	ITALY
EPI_ISL_3948719	ITALY
EPI_ISL_3948720	ITALY
EPI_ISL_3948721	ITALY
EPI_ISL_3948722	ITALY
EPI_ISL_3948724	ITALY
EPI_ISL_3948725	ITALY
EPI_ISL_3948726	ITALY
EPI_ISL_3948727	ITALY
EPI_ISL_3948728	ITALY
EPI_ISL_3948729	ITALY
EPI_ISL_3948730	ITALY
EPI_ISL_3948731	ITALY
EPI_ISL_3948732	ITALY
EPI_ISL_3948733	ITALY
EPI_ISL_3948734	ITALY
EPI_ISL_3948735	ITALY
EPI_ISL_3948736	ITALY
EPI_ISL_3948737	ITALY
EPI_ISL_3948738	ITALY
EPI_ISL_3948739	ITALY
EPI_ISL_3948740	ITALY
EPI_ISL_3948741	ITALY
EPI_ISL_3948742	ITALY
EPI_ISL_3948743	ITALY
EPI_ISL_3948744	ITALY
EPI_ISL_3948745	ITALY
EPI_ISL_3948747	ITALY
EPI_ISL_3948748	ITALY
EPI_ISL_4005356	ITALY
EPI_ISL_4005357	ITALY
EPI_ISL_4005358	ITALY
EPI_ISL_4005359	ITALY
EPI_ISL_4005360	ITALY
EPI_ISL_4005361	ITALY
EPI_ISL_4005362	ITALY
EPI_ISL_4005363	ITALY
EPI_ISL_4005364	ITALY
EPI_ISL_4005365	ITALY
EPI_ISL_4005366	ITALY
EPI_ISL_4005367	ITALY
EPI_ISL_4005370	ITALY
EPI_ISL_4005372	ITALY
EPI_ISL_4005373	ITALY
EPI_ISL_4005374	ITALY
EPI_ISL_4005375	ITALY
EPI_ISL_4005378	ITALY
EPI_ISL_4005380	ITALY
EPI_ISL_4005382	ITALY
EPI_ISL_4005383	ITALY
EPI_ISL_4005384	ITALY
EPI_ISL_4005386	ITALY
EPI_ISL_4005387	ITALY
EPI_ISL_4005388	ITALY
EPI_ISL_4005389	ITALY
EPI_ISL_4005390	ITALY
EPI_ISL_4005391	ITALY
EPI_ISL_4005392	ITALY
EPI_ISL_4005394	ITALY
EPI_ISL_4005395	ITALY
EPI_ISL_4005397	ITALY
EPI_ISL_4005399	ITALY
EPI_ISL_4005400	ITALY
EPI_ISL_4005401	ITALY
EPI_ISL_4005402	ITALY
EPI_ISL_4005403	ITALY
EPI_ISL_4005404	ITALY
EPI_ISL_4005405	ITALY
EPI_ISL_4005406	ITALY
EPI_ISL_4005407	ITALY
EPI_ISL_4005409	ITALY
EPI_ISL_4005410	ITALY
EPI_ISL_4005411	ITALY
EPI_ISL_4005415	ITALY
EPI_ISL_4005416	ITALY
EPI_ISL_4005417	ITALY
EPI_ISL_4005418	ITALY
EPI_ISL_4005420	ITALY
EPI_ISL_4005421	ITALY
EPI_ISL_4005423	ITALY
EPI_ISL_4005424	ITALY
EPI_ISL_4005426	ITALY
EPI_ISL_4005427	ITALY
EPI_ISL_4005428	ITALY
EPI_ISL_4005432	ITALY
EPI_ISL_4005435	ITALY
EPI_ISL_4005436	ITALY
EPI_ISL_4005437	ITALY
EPI_ISL_4005440	ITALY
EPI_ISL_4005441	ITALY
EPI_ISL_4005442	ITALY
EPI_ISL_4032657	ITALY
EPI_ISL_4032658	ITALY
EPI_ISL_4032659	ITALY
EPI_ISL_4032660	ITALY
EPI_ISL_4032661	ITALY
EPI_ISL_4063297	ITALY
EPI_ISL_4063298	ITALY
EPI_ISL_4063299	ITALY
EPI_ISL_4063300	ITALY
EPI_ISL_4063301	ITALY
EPI_ISL_4063302	ITALY
EPI_ISL_4063303	ITALY
EPI_ISL_4063305	ITALY
EPI_ISL_4063306	ITALY
EPI_ISL_4063307	ITALY
EPI_ISL_4063308	ITALY
EPI_ISL_4063309	ITALY
EPI_ISL_4063310	ITALY
EPI_ISL_4063311	ITALY
EPI_ISL_4063312	ITALY
EPI_ISL_4063314	ITALY
EPI_ISL_4063315	ITALY
EPI_ISL_4063316	ITALY
EPI_ISL_4105029	ITALY
EPI_ISL_4105030	ITALY
EPI_ISL_4105031	ITALY
EPI_ISL_4105032	ITALY
EPI_ISL_4105033	ITALY
EPI_ISL_4105034	ITALY
EPI_ISL_4105036	ITALY
EPI_ISL_4105037	ITALY
EPI_ISL_4105038	ITALY
EPI_ISL_4105039	ITALY
EPI_ISL_4105040	ITALY
EPI_ISL_4105041	ITALY
EPI_ISL_4105042	ITALY
EPI_ISL_4105043	ITALY
EPI_ISL_4105044	ITALY
EPI_ISL_4105045	ITALY
EPI_ISL_4105046	ITALY
EPI_ISL_4105047	ITALY
EPI_ISL_4105048	ITALY
EPI_ISL_4105049	ITALY
EPI_ISL_4105050	ITALY
EPI_ISL_4105051	ITALY
EPI_ISL_4105053	ITALY
EPI_ISL_4105054	ITALY
EPI_ISL_4105055	ITALY
EPI_ISL_4105056	ITALY
EPI_ISL_4105057	ITALY
EPI_ISL_4105058	ITALY
EPI_ISL_4105059	ITALY
EPI_ISL_4105060	ITALY
EPI_ISL_4105061	ITALY
EPI_ISL_4105062	ITALY
EPI_ISL_4105063	ITALY
EPI_ISL_4105064	ITALY
EPI_ISL_4105065	ITALY
EPI_ISL_4105066	ITALY
EPI_ISL_4105067	ITALY
EPI_ISL_4105068	ITALY
EPI_ISL_4105069	ITALY
EPI_ISL_4105070	ITALY
EPI_ISL_4105071	ITALY
EPI_ISL_4105072	ITALY
EPI_ISL_4105073	ITALY
EPI_ISL_4105074	ITALY
EPI_ISL_4105075	ITALY
EPI_ISL_4105076	ITALY
EPI_ISL_4105077	ITALY
EPI_ISL_4105078	ITALY
EPI_ISL_4105079	ITALY
EPI_ISL_4105080	ITALY
EPI_ISL_4105082	ITALY
EPI_ISL_4105083	ITALY
EPI_ISL_4105084	ITALY
EPI_ISL_4168010	ITALY
EPI_ISL_4168011	ITALY
EPI_ISL_4168012	ITALY
EPI_ISL_4168013	ITALY
EPI_ISL_4168014	ITALY
EPI_ISL_4168015	ITALY
EPI_ISL_4168016	ITALY
EPI_ISL_4168017	ITALY
EPI_ISL_4168018	ITALY
EPI_ISL_4168019	ITALY
EPI_ISL_4168020	ITALY
EPI_ISL_4168021	ITALY
EPI_ISL_4168022	ITALY
EPI_ISL_4168023	ITALY
EPI_ISL_4168024	ITALY
EPI_ISL_4168025	ITALY
EPI_ISL_4168026	ITALY
EPI_ISL_4168027	ITALY
EPI_ISL_4168028	ITALY
EPI_ISL_4168029	ITALY
EPI_ISL_4168030	ITALY
EPI_ISL_4168031	ITALY
EPI_ISL_4221781	ITALY
EPI_ISL_4221782	ITALY
EPI_ISL_4221783	ITALY
EPI_ISL_4221786	ITALY
EPI_ISL_4221787	ITALY
EPI_ISL_4221788	ITALY
