Sample_ID	Population
EPI_ISL_542430	NZ
EPI_ISL_542431	NZ
EPI_ISL_542432	NZ
EPI_ISL_542433	NZ
EPI_ISL_542434	NZ
EPI_ISL_542435	NZ
EPI_ISL_542436	NZ
EPI_ISL_542437	NZ
EPI_ISL_542438	NZ
EPI_ISL_542439	NZ
EPI_ISL_542440	NZ
EPI_ISL_542441	NZ
EPI_ISL_542442	NZ
EPI_ISL_542443	NZ
EPI_ISL_560407	NZ
EPI_ISL_568579	NZ
EPI_ISL_569865	NZ
EPI_ISL_569866	NZ
EPI_ISL_569867	NZ
EPI_ISL_569868	NZ
EPI_ISL_569869	NZ
EPI_ISL_569870	NZ
EPI_ISL_569871	NZ
EPI_ISL_569872	NZ
EPI_ISL_569873	NZ
EPI_ISL_569874	NZ
EPI_ISL_569875	NZ
EPI_ISL_569876	NZ
EPI_ISL_569877	NZ
EPI_ISL_569878	NZ
EPI_ISL_569879	NZ
EPI_ISL_569880	NZ
EPI_ISL_569881	NZ
EPI_ISL_569882	NZ
EPI_ISL_569883	NZ
EPI_ISL_569884	NZ
EPI_ISL_569885	NZ
EPI_ISL_569886	NZ
EPI_ISL_572324	NZ
EPI_ISL_582123	NZ
EPI_ISL_583954	NZ
EPI_ISL_583955	NZ
EPI_ISL_583956	NZ
EPI_ISL_583957	NZ
EPI_ISL_583958	NZ
EPI_ISL_583959	NZ
EPI_ISL_583960	NZ
EPI_ISL_583961	NZ
EPI_ISL_583962	NZ
EPI_ISL_584048	NZ
EPI_ISL_584049	NZ
EPI_ISL_584051	NZ
EPI_ISL_584052	NZ
EPI_ISL_591327	NZ
EPI_ISL_591328	NZ
EPI_ISL_591329	NZ
EPI_ISL_591330	NZ
EPI_ISL_591331	NZ
EPI_ISL_591332	NZ
EPI_ISL_591333	NZ
EPI_ISL_591334	NZ
EPI_ISL_591335	NZ
EPI_ISL_603137	NZ
EPI_ISL_603138	NZ
EPI_ISL_603139	NZ
EPI_ISL_603140	NZ
EPI_ISL_603141	NZ
EPI_ISL_603142	NZ
EPI_ISL_603143	NZ
EPI_ISL_603144	NZ
EPI_ISL_603145	NZ
EPI_ISL_603146	NZ
EPI_ISL_603147	NZ
EPI_ISL_603148	NZ
EPI_ISL_603149	NZ
